,title,description,publishedAt,url,source,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral
0,Coal prices fall on supply concerns,Market update for 2025-09-24: coal prices fall on supply concerns,2025-09-24 12:32:00.666227,https://example.com/news/CO1=F_20250924,Realistic News Generator,-0.5196759205865052,0.0,0.5196759205865052,0.48032407941349475
1,Coal mining decline due to market volatility,Market update for 2025-09-25: coal mining decline due to market volatility,2025-09-25 12:32:00.666227,https://example.com/news/CO1=F_20250925,Realistic News Generator,-0.7591819235226366,0.0,0.7591819235226366,0.24081807647736342
2,Energy transition stabilize following seasonal patterns,Market update for 2025-09-25: energy transition stabilize following seasonal patterns,2025-09-25 12:32:00.666227,https://example.com/news/CO1=F_20250925,Realistic News Generator,0.10949687990049994,0.10949687990049994,0.0,0.8905031200995001
3,Coal exports surge amid production cuts,Market update for 2025-09-25: coal exports surge amid production cuts,2025-09-25 12:32:00.666227,https://example.com/news/CO1=F_20250925,Realistic News Generator,0.5475524397470005,0.5475524397470005,0.0,0.4524475602529995
4,Coal mining fluctuate due to weather conditions,Market update for 2025-09-26: coal mining fluctuate due to weather conditions,2025-09-26 12:32:00.666227,https://example.com/news/CO1=F_20250926,Realistic News Generator,0.02110936699041638,0.02110936699041638,0.0,0.9788906330095837
5,Coal prices fall on economic indicators,Market update for 2025-09-26: coal prices fall on economic indicators,2025-09-26 12:32:00.666227,https://example.com/news/CO1=F_20250926,Realistic News Generator,-0.310471642761402,0.0,0.310471642761402,0.689528357238598
7,Coal exports rise amid demand changes,Market update for 2025-09-27: coal exports rise amid demand changes,2025-09-27 12:32:00.666227,https://example.com/news/CO1=F_20250927,Realistic News Generator,0.7144852254413143,0.7144852254413143,0.0,0.2855147745586857
8,Coal mining decline due to seasonal patterns,Market update for 2025-09-27: coal mining decline due to seasonal patterns,2025-09-27 12:32:00.666227,https://example.com/news/CO1=F_20250927,Realistic News Generator,-0.7605319402323062,0.0,0.7605319402323062,0.2394680597676938
6,Energy transition decline following weather conditions,Market update for 2025-09-27: energy transition decline following weather conditions,2025-09-27 12:32:00.666227,https://example.com/news/CO1=F_20250927,Realistic News Generator,-0.6064339846401411,0.0,0.6064339846401411,0.3935660153598589
9,Energy transition stabilize following demand changes,Market update for 2025-09-28: energy transition stabilize following demand changes,2025-09-28 12:32:00.666227,https://example.com/news/CO1=F_20250928,Realistic News Generator,0.6093835859874969,0.6093835859874969,0.0,0.39061641401250313
10,Energy transition decline following demand changes,Market update for 2025-09-28: energy transition decline following demand changes,2025-09-28 12:32:00.666227,https://example.com/news/CO1=F_20250928,Realistic News Generator,-0.32428348287710007,0.0,0.32428348287710007,0.6757165171228999
11,Coal mining fall due to export restrictions,Market update for 2025-09-28: coal mining fall due to export restrictions,2025-09-28 12:32:00.666227,https://example.com/news/CO1=F_20250928,Realistic News Generator,-0.34073760480761484,0.0,0.34073760480761484,0.6592623951923852
12,Fossil fuel sector fluctuate on market volatility,Market update for 2025-09-29: fossil fuel sector fluctuate on market volatility,2025-09-29 12:32:00.666227,https://example.com/news/CO1=F_20250929,Realistic News Generator,-0.11229887321332999,0.0,0.11229887321332999,0.88770112678667
13,Energy transition surge following economic indicators,Market update for 2025-09-30: energy transition surge following economic indicators,2025-09-30 12:32:00.666227,https://example.com/news/CO1=F_20250930,Realistic News Generator,0.4492541049179778,0.4492541049179778,0.0,0.5507458950820222
14,Fossil fuel sector surge on production cuts,Market update for 2025-09-30: fossil fuel sector surge on production cuts,2025-09-30 12:32:00.666227,https://example.com/news/CO1=F_20250930,Realistic News Generator,0.6804645821487403,0.6804645821487403,0.0,0.3195354178512597
